"源节点ID","目标节点ID","关系类型","空间键","空间名称","证据","权重"
"space:DZKJZLCS","topic:问题与复盘","覆盖主题","DZKJZLCS","深研质量改善小组","目录节点数 2","2"
"space:DZKJZLCS","topic:规范与流程","覆盖主题","DZKJZLCS","深研质量改善小组","目录节点数 2","2"
"space:DZKJZLCS","topic:项目管理","覆盖主题","DZKJZLCS","深研质量改善小组","目录节点数 2","2"
"space:DZKJZLCS","topic:培训与知识","覆盖主题","DZKJZLCS","深研质量改善小组","目录节点数 1","1"
"space:DZKJZLCS","topic:设计与架构","覆盖主题","DZKJZLCS","深研质量改善小组","目录节点数 1","1"
"space:HWDBYYS","topic:其他","覆盖主题","HWDBYYS","VIDAA系统研发部","目录节点数 32","32"
"space:HWDBYYS","topic:规范与流程","覆盖主题","HWDBYYS","VIDAA系统研发部","目录节点数 14","14"
"space:HWDBYYS","topic:培训与知识","覆盖主题","HWDBYYS","VIDAA系统研发部","目录节点数 7","7"
"space:HWDBYYS","topic:需求与功能","覆盖主题","HWDBYYS","VIDAA系统研发部","目录节点数 5","5"
"space:HWDBYYS","topic:项目管理","覆盖主题","HWDBYYS","VIDAA系统研发部","目录节点数 5","5"
"space:HWDBYYS","topic:测试与验证","覆盖主题","HWDBYYS","VIDAA系统研发部","目录节点数 5","5"
"space:HWDBYYS","topic:设计与架构","覆盖主题","HWDBYYS","VIDAA系统研发部","目录节点数 3","3"
"space:HWDBYYS","topic:版本与计划","覆盖主题","HWDBYYS","VIDAA系统研发部","目录节点数 1","1"
"space:HWDBYYS","topic:会议与协同","覆盖主题","HWDBYYS","VIDAA系统研发部","目录节点数 1","1"
"space:JQ","topic:其他","覆盖主题","JQ","电视应用软件所","目录节点数 82","82"
"space:JQ","topic:项目管理","覆盖主题","JQ","电视应用软件所","目录节点数 11","11"
"space:JQ","topic:培训与知识","覆盖主题","JQ","电视应用软件所","目录节点数 3","3"
"space:JQ","topic:设计与架构","覆盖主题","JQ","电视应用软件所","目录节点数 2","2"
"space:JQ","topic:测试与验证","覆盖主题","JQ","电视应用软件所","目录节点数 1","1"
"space:JQ","topic:版本与计划","覆盖主题","JQ","电视应用软件所","目录节点数 1","1"
"space:JQ","topic:会议与协同","覆盖主题","JQ","电视应用软件所","目录节点数 1","1"
"space:JQ","topic:规范与流程","覆盖主题","JQ","电视应用软件所","目录节点数 1","1"
"space:JUOS","topic:其他","覆盖主题","JUOS","海信JuOS操作系统知识库","目录节点数 28","28"
"space:JUOS","topic:规范与流程","覆盖主题","JUOS","海信JuOS操作系统知识库","目录节点数 15","15"
"space:JUOS","topic:设计与架构","覆盖主题","JUOS","海信JuOS操作系统知识库","目录节点数 13","13"
"space:JUOS","topic:需求与功能","覆盖主题","JUOS","海信JuOS操作系统知识库","目录节点数 13","13"
"space:JUOS","topic:项目管理","覆盖主题","JUOS","海信JuOS操作系统知识库","目录节点数 7","7"
"space:JUOS","topic:版本与计划","覆盖主题","JUOS","海信JuOS操作系统知识库","目录节点数 7","7"
"space:JUOS","topic:问题与复盘","覆盖主题","JUOS","海信JuOS操作系统知识库","目录节点数 5","5"
"space:JUOS","topic:测试与验证","覆盖主题","JUOS","海信JuOS操作系统知识库","目录节点数 4","4"
"space:JUOS","topic:培训与知识","覆盖主题","JUOS","海信JuOS操作系统知识库","目录节点数 1","1"
"space:NXPTRJ","topic:其他","覆盖主题","NXPTRJ","系统软件开发所","目录节点数 42","42"
"space:NXPTRJ","topic:数据与质量","覆盖主题","NXPTRJ","系统软件开发所","目录节点数 33","33"
"space:NXPTRJ","topic:规范与流程","覆盖主题","NXPTRJ","系统软件开发所","目录节点数 8","8"
"space:NXPTRJ","topic:设计与架构","覆盖主题","NXPTRJ","系统软件开发所","目录节点数 6","6"
"space:NXPTRJ","topic:培训与知识","覆盖主题","NXPTRJ","系统软件开发所","目录节点数 6","6"
"space:NXPTRJ","topic:版本与计划","覆盖主题","NXPTRJ","系统软件开发所","目录节点数 5","5"
"space:NXPTRJ","topic:项目管理","覆盖主题","NXPTRJ","系统软件开发所","目录节点数 5","5"
"space:NXPTRJ","topic:需求与功能","覆盖主题","NXPTRJ","系统软件开发所","目录节点数 4","4"
"space:NXPTRJ","topic:问题与复盘","覆盖主题","NXPTRJ","系统软件开发所","目录节点数 3","3"
"space:NXPTRJ","topic:测试与验证","覆盖主题","NXPTRJ","系统软件开发所","目录节点数 1","1"
"space:PTRJKFS","topic:其他","覆盖主题","PTRJKFS","平台软件开发所","目录节点数 30","30"
"space:PTRJKFS","topic:数据与质量","覆盖主题","PTRJKFS","平台软件开发所","目录节点数 5","5"
"space:PTRJKFS","topic:会议与协同","覆盖主题","PTRJKFS","平台软件开发所","目录节点数 4","4"
"space:PTRJKFS","topic:项目管理","覆盖主题","PTRJKFS","平台软件开发所","目录节点数 1","1"
"space:PTRJKFS","topic:问题与复盘","覆盖主题","PTRJKFS","平台软件开发所","目录节点数 1","1"
"space:PTRJKFS","topic:版本与计划","覆盖主题","PTRJKFS","平台软件开发所","目录节点数 1","1"
"space:PTRJKFS","topic:规范与流程","覆盖主题","PTRJKFS","平台软件开发所","目录节点数 1","1"
"space:PTRJKFS","topic:设计与架构","覆盖主题","PTRJKFS","平台软件开发所","目录节点数 1","1"
"space:PXZL","topic:培训与知识","覆盖主题","PXZL","培训资料","目录节点数 54","54"
"space:PXZL","topic:设计与架构","覆盖主题","PXZL","培训资料","目录节点数 15","15"
"space:PXZL","topic:测试与验证","覆盖主题","PXZL","培训资料","目录节点数 7","7"
"space:PXZL","topic:规范与流程","覆盖主题","PXZL","培训资料","目录节点数 5","5"
"space:PXZL","topic:二维三维与图形模型","覆盖主题","PXZL","培训资料","目录节点数 1","1"
"space:PXZL","topic:会议与协同","覆盖主题","PXZL","培训资料","目录节点数 1","1"
"space:PXZL","topic:需求与功能","覆盖主题","PXZL","培训资料","目录节点数 1","1"
"space:PXZL","topic:问题与复盘","覆盖主题","PXZL","培训资料","目录节点数 1","1"
"space:QDPTJSS","topic:其他","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 49","49"
"space:QDPTJSS","topic:项目管理","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 37","37"
"space:QDPTJSS","topic:规范与流程","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 16","16"
"space:QDPTJSS","topic:设计与架构","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 14","14"
"space:QDPTJSS","topic:培训与知识","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 11","11"
"space:QDPTJSS","topic:版本与计划","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 5","5"
"space:QDPTJSS","topic:问题与复盘","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 5","5"
"space:QDPTJSS","topic:测试与验证","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 4","4"
"space:QDPTJSS","topic:需求与功能","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 2","2"
"space:QDPTJSS","topic:会议与协同","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 2","2"
"space:QDPTJSS","topic:二维三维与图形模型","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 1","1"
"space:QDPTJSS","topic:数据与质量","覆盖主题","QDPTJSS","系统软件开发所666","目录节点数 1","1"
"space:RBRJJSS","topic:其他","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 51","51"
"space:RBRJJSS","topic:项目管理","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 20","20"
"space:RBRJJSS","topic:培训与知识","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 13","13"
"space:RBRJJSS","topic:规范与流程","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 5","5"
"space:RBRJJSS","topic:问题与复盘","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 4","4"
"space:RBRJJSS","topic:设计与架构","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 3","3"
"space:RBRJJSS","topic:测试与验证","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 2","2"
"space:RBRJJSS","topic:数据与质量","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 2","2"
"space:RBRJJSS","topic:版本与计划","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 1","1"
"space:RBRJJSS","topic:会议与协同","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 1","1"
"space:RBRJJSS","topic:需求与功能","覆盖主题","RBRJJSS","日本产品软件所","目录节点数 1","1"
"space:RJYFBGG","topic:其他","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 86","86"
"space:RJYFBGG","topic:项目管理","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 52","52"
"space:RJYFBGG","topic:设计与架构","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 50","50"
"space:RJYFBGG","topic:数据与质量","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 43","43"
"space:RJYFBGG","topic:问题与复盘","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 16","16"
"space:RJYFBGG","topic:规范与流程","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 13","13"
"space:RJYFBGG","topic:会议与协同","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 13","13"
"space:RJYFBGG","topic:版本与计划","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 10","10"
"space:RJYFBGG","topic:需求与功能","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 7","7"
"space:RJYFBGG","topic:培训与知识","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 4","4"
"space:RJYFBGG","topic:二维三维与图形模型","覆盖主题","RJYFBGG","软件研发部公共空间","目录节点数 2","2"
"space:RUANJIANYANFA","topic:其他","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 82","82"
"space:RUANJIANYANFA","topic:项目管理","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 48","48"
"space:RUANJIANYANFA","topic:数据与质量","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 36","36"
"space:RUANJIANYANFA","topic:规范与流程","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 22","22"
"space:RUANJIANYANFA","topic:问题与复盘","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 19","19"
"space:RUANJIANYANFA","topic:版本与计划","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 10","10"
"space:RUANJIANYANFA","topic:设计与架构","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 9","9"
"space:RUANJIANYANFA","topic:培训与知识","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 8","8"
"space:RUANJIANYANFA","topic:会议与协同","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 5","5"
"space:RUANJIANYANFA","topic:需求与功能","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 3","3"
"space:RUANJIANYANFA","topic:测试与验证","覆盖主题","RUANJIANYANFA","电视产品软件所","目录节点数 3","3"
"space:RZZGXM","topic:规范与流程","覆盖主题","RZZGXM","员工管理","目录节点数 2","2"
"space:RZZGXM","topic:项目管理","覆盖主题","RZZGXM","员工管理","目录节点数 1","1"
"space:SYKS","topic:其他","覆盖主题","SYKS","深研知识分享体系","目录节点数 19","19"
"space:SYKS","topic:测试与验证","覆盖主题","SYKS","深研知识分享体系","目录节点数 10","10"
"space:SYKS","topic:规范与流程","覆盖主题","SYKS","深研知识分享体系","目录节点数 7","7"
"space:SYKS","topic:培训与知识","覆盖主题","SYKS","深研知识分享体系","目录节点数 4","4"
"space:SYKS","topic:项目管理","覆盖主题","SYKS","深研知识分享体系","目录节点数 4","4"
"space:SYKS","topic:设计与架构","覆盖主题","SYKS","深研知识分享体系","目录节点数 3","3"
"space:SYKS","topic:版本与计划","覆盖主题","SYKS","深研知识分享体系","目录节点数 1","1"
"space:SYSHARE","topic:其他","覆盖主题","SYSHARE","深研公共分享","目录节点数 23","23"
"space:SYSHARE","topic:规范与流程","覆盖主题","SYSHARE","深研公共分享","目录节点数 14","14"
"space:SYSHARE","topic:项目管理","覆盖主题","SYSHARE","深研公共分享","目录节点数 8","8"
"space:SYSHARE","topic:会议与协同","覆盖主题","SYSHARE","深研公共分享","目录节点数 4","4"
"space:SYSHARE","topic:培训与知识","覆盖主题","SYSHARE","深研公共分享","目录节点数 3","3"
"space:SYSHARE","topic:版本与计划","覆盖主题","SYSHARE","深研公共分享","目录节点数 2","2"
"space:SYSHARE","topic:二维三维与图形模型","覆盖主题","SYSHARE","深研公共分享","目录节点数 1","1"
"space:SYSHARE","topic:测试与验证","覆盖主题","SYSHARE","深研公共分享","目录节点数 1","1"
"space:SYSHARE","topic:数据与质量","覆盖主题","SYSHARE","深研公共分享","目录节点数 1","1"
"space:test1","topic:测试与验证","覆盖主题","test1","test1","目录节点数 62","62"
"space:test1","topic:需求与功能","覆盖主题","test1","test1","目录节点数 8","8"
"space:TOOLS","topic:其他","覆盖主题","TOOLS","工具池","目录节点数 2","2"
"space:TOOLS","topic:设计与架构","覆盖主题","TOOLS","工具池","目录节点数 2","2"
"space:TYXX","topic:其他","覆盖主题","TYXX","通用信息","目录节点数 34","34"
"space:TYXX","topic:项目管理","覆盖主题","TYXX","通用信息","目录节点数 8","8"
"space:TYXX","topic:设计与架构","覆盖主题","TYXX","通用信息","目录节点数 4","4"
"space:TYXX","topic:问题与复盘","覆盖主题","TYXX","通用信息","目录节点数 3","3"
"space:TYXX","topic:规范与流程","覆盖主题","TYXX","通用信息","目录节点数 1","1"
"space:TYXX","topic:测试与验证","覆盖主题","TYXX","通用信息","目录节点数 1","1"
"space:VIDAA","topic:其他","覆盖主题","VIDAA","VIDAA","目录节点数 82","82"
"space:VIDAA","topic:培训与知识","覆盖主题","VIDAA","VIDAA","目录节点数 17","17"
"space:VIDAA","topic:测试与验证","覆盖主题","VIDAA","VIDAA","目录节点数 13","13"
"space:VIDAA","topic:项目管理","覆盖主题","VIDAA","VIDAA","目录节点数 13","13"
"space:VIDAA","topic:设计与架构","覆盖主题","VIDAA","VIDAA","目录节点数 10","10"
"space:VIDAA","topic:问题与复盘","覆盖主题","VIDAA","VIDAA","目录节点数 8","8"
"space:VIDAA","topic:需求与功能","覆盖主题","VIDAA","VIDAA","目录节点数 6","6"
"space:VIDAA","topic:规范与流程","覆盖主题","VIDAA","VIDAA","目录节点数 4","4"
"space:VIDAA","topic:数据与质量","覆盖主题","VIDAA","VIDAA","目录节点数 4","4"
"space:VIDAA","topic:会议与协同","覆盖主题","VIDAA","VIDAA","目录节点数 4","4"
"space:VIDAA","topic:版本与计划","覆盖主题","VIDAA","VIDAA","目录节点数 2","2"
"space:XTXNSY","topic:其他","覆盖主题","XTXNSY","系统性能优化团队（深研）","目录节点数 31","31"
"space:XTXNSY","topic:项目管理","覆盖主题","XTXNSY","系统性能优化团队（深研）","目录节点数 12","12"
"space:XTXNSY","topic:设计与架构","覆盖主题","XTXNSY","系统性能优化团队（深研）","目录节点数 6","6"
"space:XTXNSY","topic:规范与流程","覆盖主题","XTXNSY","系统性能优化团队（深研）","目录节点数 6","6"
"space:XTXNSY","topic:问题与复盘","覆盖主题","XTXNSY","系统性能优化团队（深研）","目录节点数 3","3"
"space:XTXNSY","topic:测试与验证","覆盖主题","XTXNSY","系统性能优化团队（深研）","目录节点数 2","2"
"space:XTXNSY","topic:会议与协同","覆盖主题","XTXNSY","系统性能优化团队（深研）","目录节点数 1","1"
"space:XTXNSY","topic:二维三维与图形模型","覆盖主题","XTXNSY","系统性能优化团队（深研）","目录节点数 1","1"
"space:XTXNSY","topic:需求与功能","覆盖主题","XTXNSY","系统性能优化团队（深研）","目录节点数 1","1"
"space:XTXNSY","topic:版本与计划","覆盖主题","XTXNSY","系统性能优化团队（深研）","目录节点数 1","1"
"space:YFZXJSSL","topic:其他","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 209","209"
"space:YFZXJSSL","topic:设计与架构","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 47","47"
"space:YFZXJSSL","topic:问题与复盘","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 30","30"
"space:YFZXJSSL","topic:测试与验证","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 29","29"
"space:YFZXJSSL","topic:培训与知识","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 15","15"
"space:YFZXJSSL","topic:二维三维与图形模型","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 14","14"
"space:YFZXJSSL","topic:规范与流程","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 8","8"
"space:YFZXJSSL","topic:数据与质量","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 4","4"
"space:YFZXJSSL","topic:项目管理","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 3","3"
"space:YFZXJSSL","topic:需求与功能","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 2","2"
"space:YFZXJSSL","topic:会议与协同","覆盖主题","YFZXJSSL","视像科技研发中心技术沙龙","目录节点数 1","1"
"space:YYZX","topic:规范与流程","覆盖主题","YYZX","产品线运营中心学习资料共享","目录节点数 13","13"
"space:YYZX","topic:培训与知识","覆盖主题","YYZX","产品线运营中心学习资料共享","目录节点数 12","12"
"space:YYZX","topic:问题与复盘","覆盖主题","YYZX","产品线运营中心学习资料共享","目录节点数 3","3"
"space:YYZX","topic:设计与架构","覆盖主题","YYZX","产品线运营中心学习资料共享","目录节点数 1","1"
"space:ZJJSWYH","topic:其他","覆盖主题","ZJJSWYH","电子信息集团研发中心专业技术委员会","目录节点数 7","7"
"space:ZJJSWYH","topic:项目管理","覆盖主题","ZJJSWYH","电子信息集团研发中心专业技术委员会","目录节点数 1","1"
"space:ZYJCKC","topic:培训与知识","覆盖主题","ZYJCKC","专业基础课程","目录节点数 21","21"
"space:ZYJCKC","topic:规范与流程","覆盖主题","ZYJCKC","专业基础课程","目录节点数 2","2"
"space:ZYJCKC","topic:测试与验证","覆盖主题","ZYJCKC","专业基础课程","目录节点数 2","2"
"space:ZYJCKC","topic:设计与架构","覆盖主题","ZYJCKC","专业基础课程","目录节点数 2","2"
"space:ZYJCKC","topic:问题与复盘","覆盖主题","ZYJCKC","专业基础课程","目录节点数 1","1"
"space:ZYTSKC","topic:培训与知识","覆盖主题","ZYTSKC","专业提升课程","目录节点数 19","19"
"space:ZYTSKC","topic:设计与架构","覆盖主题","ZYTSKC","专业提升课程","目录节点数 3","3"
"space:ZYTSKC","topic:测试与验证","覆盖主题","ZYTSKC","专业提升课程","目录节点数 2","2"
"space:ZYTSKC","topic:问题与复盘","覆盖主题","ZYTSKC","专业提升课程","目录节点数 2","2"
"space:ZYTSKC","topic:规范与流程","覆盖主题","ZYTSKC","专业提升课程","目录节点数 1","1"
